EVENT_ID,STATE,YEAR,MONTH_NAME,EVENT_TYPE,CZ_TYPE,CZ_NAME,INJURIES_DIRECT,INJURIES_INDIRECT,DEATHS_DIRECT,DEATHS_INDIRECT,DAMAGE_PROPERTY,DAMAGE_CROPS,TOR_F_SCALE
10123887,SOUTH DAKOTA,1980,June,Thunderstorm Wind,C,STANLEY,0,0,0,0,0,0,
10123888,SOUTH DAKOTA,1980,June,Hail,C,JACKSON,0,0,0,0,0,0,
10123889,SOUTH DAKOTA,1980,June,Tornado,C,SULLY,0,0,0,0,0K,0,F0
10123890,SOUTH DAKOTA,1980,June,Hail,C,BENNETT,0,0,0,0,0,0,
10123891,SOUTH DAKOTA,1980,June,Hail,C,JONES,0,0,0,0,0,0,
10123892,SOUTH DAKOTA,1980,June,Hail,C,BENNETT,0,0,0,0,0,0,
10123893,SOUTH DAKOTA,1980,June,Hail,C,DAY,0,0,0,0,0,0,
10123894,SOUTH DAKOTA,1980,June,Hail,C,BRULE,0,0,0,0,0,0,
10123895,SOUTH DAKOTA,1980,June,Hail,C,CHARLES MIX,0,0,0,0,0,0,
10123896,SOUTH DAKOTA,1980,June,Hail,C,BRULE,0,0,0,0,0,0,
10123897,SOUTH DAKOTA,1980,June,Thunderstorm Wind,C,CHARLES MIX,0,0,0,0,0,0,
10123898,SOUTH DAKOTA,1980,June,Hail,C,DOUGLAS,0,0,0,0,0,0,
10099984,OHIO,1980,June,Thunderstorm Wind,C,LORAIN,0,0,0,0,0,0,
10099985,OHIO,1980,July,Thunderstorm Wind,C,MERCER,0,0,0,0,0,0,
10099986,OHIO,1980,July,Thunderstorm Wind,C,PREBLE,0,0,0,0,0,0,
